"자치구별(1)",자치구별(2),2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"자치구별(1)",자치구별(2),면적,면적,동 (개),동 (개),통 (개),반 (개),면적,면적,동 (개),동 (개),통 (개),반 (개),면적,면적,동 (개),동 (개),통 (개),반 (개),면적,면적,동 (개),동 (개),통 (개),반 (개),면적,면적,동 (개),동 (개),통 (개),반 (개),면적,면적,동 (개),동 (개),통 (개),반 (개),면적,면적,동 (개),동 (개),통 (개),반 (개),면적,면적,동 (개),동 (개),통 (개),반 (개),면적,면적,동 (개),동 (개),통 (개),반 (개),면적,면적,동 (개),동 (개),통 (개),반 (개)
"자치구별(1)",자치구별(2),면적 (km²),구성비 (%),행정,법정,소계,소계,면적 (km²),구성비 (%),행정,법정,소계,소계,면적 (km²),구성비 (%),행정,법정,소계,소계,면적 (km²),구성비 (%),행정,법정,소계,소계,면적 (km²),구성비 (%),행정,법정,소계,소계,면적 (km²),구성비 (%),행정,법정,소계,소계,면적 (km²),구성비 (%),행정,법정,소계,소계,면적 (km²),구성비 (%),행정,법정,소계,소계,면적 (km²),구성비 (%),행정,법정,소계,소계,면적 (km²),구성비 (%),행정,법정,소계,소계
"서울시",노원구,35.44,5.86,19,5,702,6013,35.44,5.85,19,5,702,5843,35.44,5.86,19,5,709,5866,35.44,5.86,19,5,709,5866,35.44,5.86,19,5,710,5869,35.44,5.90,19,5,709,5863,35.44,5.86,19,5,712,5873,35.44,5.86,19,5,716,5873,35.44,5.86,19,5,720,5864,35.44,5.86,19,5,727,5878
"서울시",은평구,29.70,4.91,16,11,552,4112,29.70,4.91,16,11,556,4146,29.70,4.91,16,11,558,4166,29.71,4.91,16,11,558,4166,29.71,4.91,16,11,561,4193,29.71,4.90,16,11,573,4081,29.71,4.91,16,11,572,4236,29.71,4.91,16,11,572,4240,29.71,4.91,16,11,574,4250,29.71,4.91,16,11,574,4246
"서울시",서대문구,17.61,2.91,14,20,540,4239,17.61,2.91,14,20,520,3768,17.61,2.91,14,20,520,3768,17.63,2.91,14,20,520,3768,17.62,2.91,14,20,514,3704,17.63,2.90,14,20,511,3618,17.63,2.91,14,20,510,3669,17.63,2.91,14,20,516,3694,17.63,2.91,14,20,518,3673,17.63,2.91,14,20,514,3493
"서울시",마포구,23.84,3.94,16,26,413,3245,23.84,3.94,16,26,414,3271,23.84,3.94,16,26,415,3284,23.85,3.94,16,26,415,3284,23.85,3.94,16,26,418,3313,23.85,3.90,16,26,418,3313,23.85,3.94,16,26,418,3287,23.85,3.94,16,26,418,3281,23.85,3.94,16,26,418,3281,23.85,3.94,16,26,418,3284
"서울시",양천구,17.40,2.88,18,3,558,4552,17.40,2.88,18,3,559,4561,17.41,2.88,18,3,559,4561,17.41,2.88,18,3,559,4556,17.41,2.88,18,3,558,4544,17.41,2.90,18,3,561,4572,17.41,2.88,18,3,563,4601,17.41,2.88,18,3,563,4604,17.41,2.88,18,3,563,4598,17.41,2.88,18,3,565,4582
"서울시",강서구,41.43,6.85,20,13,619,4801,41.44,6.85,20,13,624,4849,41.44,6.85,20,13,631,4923,41.44,6.85,20,13,631,4923,41.44,6.85,20,13,639,5009,41.44,6.80,20,13,644,5062,41.44,6.85,20,13,644,5068,41.45,6.85,20,13,646,5089,41.45,6.85,20,13,646,5087,41.45,6.85,20,13,646,5087
"서울시",구로구,20.12,3.32,15,10,592,4622,20.12,3.32,15,10,593,4646,20.12,3.32,15,10,598,4693,20.12,3.32,15,10,598,4697,20.12,3.32,15,10,614,4696,20.12,3.30,15,10,599,3530,20.12,3.32,16,10,620,4851,20.12,3.32,16,10,623,4871,20.12,3.32,16,10,629,4926,20.12,3.32,16,10,629,4929
"서울시",금천구,13.02,2.15,10,3,362,2962,13.02,2.15,10,3,362,2962,13.02,2.15,10,3,377,2897,13.02,2.15,10,3,377,2897,13.02,2.15,10,3,381,2874,13.02,2.20,10,3,383,2887,13.02,2.15,10,3,383,2888,13.02,2.15,10,3,386,2912,13.02,2.15,10,3,386,2912,13.02,2.15,10,3,386,2912
"서울시",영등포구,24.53,4.05,18,34,574,4833,24.53,4.05,18,34,574,4833,24.53,4.05,18,34,574,4817,24.55,4.06,18,34,574,4817,24.55,4.06,18,34,577,4869,24.55,4.00,18,34,582,4916,24.55,4.06,18,34,583,4924,24.55,4.06,18,34,583,4935,24.55,4.06,18,34,583,4922,24.55,4.06,18,34,591,4985
"서울시",동작구,16.35,2.70,15,9,526,3561,16.35,2.70,15,9,525,3555,16.35,2.70,15,9,527,3575,16.35,2.70,15,9,527,3575,16.35,2.70,15,9,528,3568,16.35,2.70,15,9,529,3568,16.35,2.70,15,9,528,3562,16.36,2.70,15,9,528,3559,16.36,2.70,15,9,526,3518,16.36,2.70,15,9,526,3545
"서울시",관악구,29.57,4.89,21,3,635,5181,29.57,4.89,21,3,635,5181,29.57,4.89,21,3,637,5187,29.57,4.89,21,3,637,5187,29.57,4.89,21,3,637,5187,29.57,4.90,21,3,631,5136,29.57,4.89,21,3,631,5136,29.57,4.89,21,3,631,5136,29.57,4.89,21,3,631,5136,29.57,4.89,21,3,634,5130
"서울시",서초구,47.00,7.77,18,10,539,3715,47.00,7.77,18,10,542,3734,46.98,7.76,18,10,543,3727,46.99,7.76,18,10,543,3727,46.98,7.76,18,10,549,3737,46.98,7.80,18,10,526,3521,46.98,7.76,18,10,526,3521,46.98,7.76,18,10,560,3796,46.97,7.76,18,10,560,3821,46.97,7.76,18,10,562,3822
"서울시",강남구,39.50,6.53,22,14,822,5486,39.50,6.53,22,14,829,5517,39.50,6.53,22,14,833,5534,39.50,6.53,22,14,836,5544,39.50,6.53,22,14,836,5551,39.50,6.50,22,14,836,5550,39.50,6.53,22,14,840,5572,39.50,6.53,22,14,842,5578,39.50,6.53,22,14,847,5609,39.50,6.53,22,14,860,5748
"서울시",송파구,33.88,5.60,26,13,710,4172,33.88,5.60,27,13,716,4193,33.88,5.60,27,13,731,4269,33.87,5.60,27,13,742,4235,33.87,5.60,27,13,748,4229,33.87,5.60,27,13,749,4230,33.87,5.60,27,13,743,4192,33.88,5.60,27,13,754,4231,33.88,5.60,27,13,758,4239,33.88,5.60,27,13,760,4248
"서울시",강동구,24.59,4.06,18,9,562,4933,24.59,4.06,18,9,542,4388,24.59,4.06,18,9,534,4142,24.59,4.06,18,9,534,4142,24.59,4.06,18,9,572,4578,24.59,4.10,18,9,591,5192,24.59,4.06,18,9,618,5417,24.59,4.06,19,9,621,5446,24.59,4.06,19,9,621,5446,24.59,4.06,19,9,625,5483
