"동별","연령별","항목","단위","2024. 4/4","2025. 1/4","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"합계","75~79세","한국인","","336990","341723","224660","234999","251961","278800","288607","295297","299530","299231","305015","321421","336990",
"합계","75~79세","등록외국인","","957","1175","703","635","564","594","607","636","617","656","685","790","957",
"합계","80~84세","계","","235361","237347","119127","130679","141998","152988","164850","179234","188621","199533","219981","229238","235361",
"합계","80~84세","한국인","","234945","236887","118754","130345","141649","152642","164475","178836","188219","199138","219561","228831","234945",
"합계","80~84세","등록외국인","","416","460","373","334","349","346","375","398","402","395","420","407","416",
"합계","85~89세","계","","120587","123393","58767","62607","66212","70628","74569","80837","90072","96094","101884","110645","120587",
"합계","85~89세","한국인","","120305","123091","58585","62456","66067","70471","74394","80651","89875","95871","101648","110383","120305",
"합계","85~89세","등록외국인","","282","302","182","151","145","157","175","186","197","223","236","262","282",
"합계","90~94세","계","","40193","41874","22532","23280","24214","25948","27874","30921","33584","33907","34635","36922","40193",
"합계","90~94세","한국인","","40067","41733","22462","23212","24153","25877","27804","30848","33503","33815","34536","36809","40067",
"합계","90~94세","등록외국인","","126","141","70","68","61","71","70","73","81","92","99","113","126",
"합계","95~99세","계","","9577","9814","5967","6523","7074","7621","8515","8870","9211","7957","7864","8583","9577",
"합계","95~99세","한국인","","9527","9751","5942","6507","7058","7602","8490","8842","9180","7920","7818","8537","9527",
"합계","95~99세","등록외국인","","50","63","25","16","16","19","25","28","31","37","46","46","50",
"합계","100세 이상","계","","1526","1551","4688","5055","5488","5534","5862","6266","6813","1665","1319","1484","1526",
"합계","100세 이상","한국인","","1484","1506","4671","5037","5475","5519","5843","6244","6792","1643","1292","1448","1484",
"합계","100세 이상","등록외국인","","42","45","17","18","13","15","19","22","21","22","27","36","42",
"종로구","합계","계","","149608","149478","165344","163822","161922","164257","163026","161869","158996","153789","152211","150453","149608",
"종로구","합계","한국인","","138336","138184","156993","154986","152737","154770","153065","151290","149384","144683","141379","139417","138336",
"종로구","합계","등록외국인","","11272","11294","8351","8836","9185","9487","9961","10579","9612","9106","10832","11036","11272",
"종로구","0~4세","계","","2449","2360","4609","4516","4438","4277","4041","3689","3197","2849","2694","2543","2449",
"종로구","0~4세","한국인","","2254","2203","4445","4353","4256","4111","3873","3540","3080","2720","2512","2342","2254",
"종로구","0~4세","등록외국인","","195","157","164","163","182","166","168","149","117","129","182","201","195",
"종로구","5~9세","계","","3497","3392","4991","5008","4923","5032","4871","4825","4596","4439","4100","3791","3497",
"종로구","5~9세","한국인","","3257","3152","4886","4903","4783","4892","4715","4671","4447","4264","3891","3577","3257",
"종로구","5~9세","등록외국인","","240","240","105","105","140","140","156","154","149","175","209","214","240",
"종로구","10~14세","계","","4644","4621","6704","6000","5552","5509","5416","5256","5261","5092","4930","4734","4644",
"종로구","10~14세","한국인","","4420","4394","6622","5912","5455","5413","5316","5153","5152","4934","4718","4540","4420",
"종로구","10~14세","등록외국인","","224","227","82","88","97","96","100","103","109","158","212","194","224",
"종로구","15~19세","계","","5595","5460","9372","9127","8777","8418","7851","7507","6463","5849","5948","5790","5595",
"종로구","15~19세","한국인","","4958","5076","9004","8635","8091","7565","7067","6595","5861","5447","5369","5199","4958",
"종로구","15~19세","등록외국인","","637","384","368","492","686","853","784","912","602","402","579","591","637",
"종로구","20~24세","계","","12174","11712","12979","13416","13759","14429","14485","14593","13721","12935","13088","12649","12174",
"종로구","20~24세","한국인","","8639","8508","11384","11459","11379","11524","11176","10924","10474","9965","9563","9113","8639",
"종로구","20~24세","등록외국인","","3535","3204","1595","1957","2380","2905","3309","3669","3247","2970","3525","3536","3535",
"종로구","25~29세","계","","14573","14921","13283","13167","13088","13590","13804","13958","14261","14201","14547","14520","14573",
"종로구","25~29세","한국인","","12324","12277","11937","11813","11891","12383","12589","12648","12942","12837","12721","12383","12324",
"종로구","25~29세","등록외국인","","2249","2644","1346","1354","1197","1207","1215","1310","1319","1364","1826","2137","2249",
"종로구","30~34세","계","","12207","12330","12696","12282","11559","11486","11150","11008","10902","11044","11419","11751","12207",
"종로구","30~34세","한국인","","11326","11326","11826","11398","10684","10662","10348","10172","10084","10302","10553","10882","11326",
"종로구","30~34세","등록외국인","","881","1004","870","884","875","824","802","836","818","742","866","869","881",
"종로구","35~39세","계","","9177","9152","11242","11071","11045","11431","11571","10905","10505","9838","9553","9166","9177",
"종로구","35~39세","한국인","","8428","8377","10590","10428","10379","10771","10883","10204","9859","9168","8789","8440","8428",
"종로구","35~39세","등록외국인","","749","775","652","643","666","660","688","701","646","670","764","726","749",
"종로구","40~44세","계","","10034","10008","14467","13435","12194","11637","10781","10550","10525","10479","10477","10461","10034",
"종로구","40~44세","한국인","","9340","9309","13778","12814","11603","11112","10259","9981","9949","9909","9812","9783","9340",
"종로구","40~44세","등록외국인","","694","699","689","621","591","525","522","569","576","570","665","678","694",
"종로구","45~49세","계","","9658","9651","14123","14149","14425","14535","14163","13615","12759","11540","10651","9899","9658",
"종로구","45~49세","한국인","","9147","9108","13428","13474","13819","13960","13590","13096","12282","11060","10132","9411","9147",
"종로구","45~49세","등록외국인","","511","543","695","675","606","575","573","519","477","480","519","488","511",
"종로구","50~54세","계","","12328","12206","14388","13956","13347","13398","13355","13323","13399","13564","13230","12892","12328",
"종로구","50~54세","한국인","","11851","11743","13641","13201","12620","12815","12787","12768","12892","13100","12745","12414","11851",
"종로구","50~54세","등록외국인","","477","463","747","755","727","583","568","555","507","464","485","478","477",
"종로구","55~59세","계","","11884","11907","12965","13099","13342","13608","13587","13545","13120","12371","11928","11891","11884",
"종로구","55~59세","한국인","","11525","11531","12301","12366","12703","13042","12957","12946","12567","11857","11471","11501","11525",
"종로구","55~59세","등록외국인","","359","376","664","733","639","566","630","599","553","514","457","390","359",
