district_code,district,year,private_name
11140,중구,2013,파크짐 청구점
11140,중구,2013,휘트니스센터
11140,중구,2014,(주)파크짐 서울역점
11140,중구,2014,Medi & Fit (메디 앤 핏)
11140,중구,2014,스카이 P.P
11140,중구,2015,(주)더한 오리엔스 호텔 & 레지던스
11140,중구,2015,엠피트니스
11140,중구,2015,이로운 퍼스널 트레이닝 스튜디오
11140,중구,2016,(주)스포짐앤밀론
11140,중구,2016,OUTFIT FITNESS
11140,중구,2016,S바디케어프라이빗짐
11140,중구,2017,(주)바디스타
11140,중구,2017,관리의 기술
11140,중구,2018,CM헬스
11140,중구,2018,주식회사 태평로 바디스타
11140,중구,2018,피트니스 월드
11140,중구,2019,3S gym
11140,중구,2019,DDPT&PILATES
11140,중구,2019,골든크라운 크로스핏 서대문역
11140,중구,2019,바디웍스
11140,중구,2019,버핏그라운드 광화문
11140,중구,2019,비치바디
11140,중구,2019,세심한 PT studio
11140,중구,2019,엘리트핏24
11140,중구,2019,피엘유
11140,중구,2019,핏앤힐 (Fit and Hill)
11140,중구,2020,(주)스포짐옐로우 신당역점
11140,중구,2020,GYM29
11140,중구,2020,UNO GYM
11140,중구,2020,㈜에이치비스포츠아이엔씨
11140,중구,2020,긍정체육관
11140,중구,2020,더블에스 휘트니스
11140,중구,2020,마인PT & 필라테스 신당청구점
11140,중구,2020,베네핏
11140,중구,2020,서울시청역점 스포애니 (주)케이디헬스케어헬스케어
11140,중구,2020,애슬릿 라이프
11140,중구,2020,올록볼록 PT Studio
11140,중구,2020,크로스핏 삼손
11140,중구,2020,피트니스101
11140,중구,2020,피트니스비엠 ㈜피트비엠
11140,중구,2021,(주)머슬인더박스
11140,중구,2021,그랜드센트럴 피트니스
11140,중구,2021,디에스디엘(주) 프레이저플레이스 센트럴 호텔
11140,중구,2021,스윗짐
11140,중구,2021,에이원 휘트니스
11140,중구,2021,엠씨티 짐 시청
11140,중구,2021,조인성 퍼스널트레이닝 No.3
11140,중구,2021,핏 슈브
11140,중구,2022,one shop
11140,중구,2022,관리의 기술 PT 약수점
11140,중구,2022,델피 운동센터
11140,중구,2022,"러쉬클랜 주짓수,PT,헬스"
11140,중구,2022,롱투짐
11140,중구,2022,스포니스 약수점
11140,중구,2022,헬스보이짐 앤 필라걸 서울시청점
11140,중구,2022,헬스보이짐&필라걸 을지로점
11140,중구,2023,겟투잇 피트니스 필라테스
11140,중구,2023,무와 웰니스 랩
11140,중구,2023,제이현핏 PT 스튜디오
11140,중구,2023,키네틱 피티 스튜디오
11140,중구,2023,한국은행 피트니스
11140,중구,2024,MONDO
11140,중구,2024,그로브짐
11140,중구,2024,엠씨티짐 충무로
11140,중구,2024,파크짐
11140,중구,2024,해핏 PT
11140,중구,2025,빅치즈 트레이닝 신당
11140,중구,2025,샤머니짐 헬스&PT 동대문점
11140,중구,2025,엠씨티 짐 장충
11140,중구,2025,트리니티 피트니스 을지로점
11170,용산구,1991,우노 휘트니스클럽
11170,용산구,1994,AK운동맞춤센터
11170,용산구,2000,웰니스짐
11170,용산구,2002,동국스포츠
11170,용산구,2004,리콥 웰니스센터
11170,용산구,2005,J헬스클럽
11170,용산구,2005,스카이 휘트니스클럽
11170,용산구,2006,드래곤힐스파휘트니스클럽
11170,용산구,2007,밸런스 핏
11170,용산구,2007,에이치 앤 휘트니스
11170,용산구,2007,원짐
11170,용산구,2007,제이제이스포츠 이촌점
11170,용산구,2011,동서 골프&휘트니스
11170,용산구,2011,센티넬 크로스핏 한남1(Sentinel CrossFit Hannam)
11170,용산구,2012,망고짐
11170,용산구,2012,스포짐
11170,용산구,2012,프라이빗 웰니스
11170,용산구,2013,Fit In Cool
11170,용산구,2013,H 스튜디오
11170,용산구,2013,반트짐
11170,용산구,2013,핏클럽 서울
11170,용산구,2014,Beautiful Evolution
11170,용산구,2014,PENTACLE
